postal_code,location,manuplicity,admin_center
7134,БЕЛЯНОВО,ЦЕНОВО,РУСЕ
9133,БЕНКОВСКИ,АВРЕН,ВАРНА
9380,БЕНКОВСКИ,ДОБРИЧ,ДОБРИЧ
4201,БЕНКОВСКИ,МАРИЦА,ПЛОВДИВ
2076,БЕНКОВСКИ,МИРКОВО,СОФИЯ
6055,БЕНКОВСКИ,СТАРА ЗАГОРА,СТАРА ЗАГОРА
6865,БЕНКОВСКИ,КИРКОВО,КЪРДЖАЛИ
2488,БЕРАЙНЦИ,ТРЪН,ПЕРНИК
2212,БЕРЕНДЕ,ДРАГОМАН,СОФИЯ
2435,БЕРЕНДЕ,ЗЕМЕН,ПЕРНИК
2212,БЕРЕНДЕ ИЗВОР,ДРАГОМАН,СОФИЯ
5438,БЕРИЕВО,СЕВЛИЕВО,ГАБРОВО
3500,БЕРКОВИЦА,БЕРКОВИЦА,МОНТАНА
7857,БЕРКОВСКИ,ПОПОВО,ТЪРГОВИЩЕ
5093,БЕРКОВЦИ,ЕЛЕНА,ВЕЛИКО ТЪРНОВО
8448,БЕРОНОВО,СУНГУРЛАРЕ,БУРГАС
2587,БЕРСИН,КЮСТЕНДИЛ,КЮСТЕНДИЛ
2934,БЕСЛЕН,ХАДЖИДИМОВО,БЛАГОЕВГРАД
6698,БЕСНУРКА,ЧЕРНООЧЕНЕ,КЪРДЖАЛИ
5849,БИВОЛАРЕ,ДОЛНА МИТРОПОЛИЯ,ПЛЕВЕН
6837,БИВОЛЯНЕ,МОМЧИЛГРАД,КЪРДЖАЛИ
5035,БИЖОВЦИ,ВЕЛИКО ТЪРНОВО,ВЕЛИКО ТЪРНОВО
5350,БИЖОВЦИ,ТРЯВНА,ГАБРОВО
8885,БИКОВО,СЛИВЕН,СЛИВЕН
2383,БИЛИНЦИ,БРЕЗНИК,ПЕРНИК
8551,БИЛКА,РУЕН,БУРГАС
5370,БИЛКИНИ,ДРЯНОВО,ГАБРОВО
9691,БИЛО,КАВАРНА,ДОБРИЧ
4789,БИЛЯНСКА,СМОЛЯН,СМОЛЯН
8855,БИНКОС,СЛИВЕН,СЛИВЕН
4650,БИРКОВА,ВЕЛИНГРАД,ПАЗАРДЖИК
6470,БИСЕР,ХАРМАНЛИ,ХАСКОВО
7334,БИСЕРЦИ,КУБРАТ,РАЗГРАД
